m,Gamma_m_cusum,rho_c_cusum,Gamma_m_sr,rho_c_sr
1,15.844448577877838,0.0673652507032336,17.428425086607785,0.06087010743441169
5,10.159176864559491,0.10918011681479795,11.052199577654436,0.09948071486990297
10,7.06052732365842,0.16500214364124885,7.915706248250535,0.1445983915602213
20,4.172043117649453,0.3152542266641759,4.7777914174833835,0.26470492663307515
50,2.1823010715153752,0.8458082497703255,2.425059540722352,0.7017250658124135
100,1.4854144320469858,,1.6425792364510405,
200,1.405986573216181,,1.4322023685321077,
