family,ARL0,Gamma_psi,se,Gamma_Tonly,rho_c
Gaussian (control),456.251213659952,15.804794254146355,0.08609081442951488,15.804794254146355,0.06754568708173243
"t, nu=10",370.26596691849085,14.637101658184516,0.0994134376815904,18.846812201169854,0.07332936463077802
"t, nu=5",278.76341129862254,11.832409749696737,0.1324515824076549,27.94679672226399,0.09231556256704525
"t, nu=3",235.96744674717624,7.877433663576274,0.25196558519968293,63.48584915755033,0.1454030745939611
contam eps=.05 s=3,232.86581066407186,10.519086140813009,0.11574111588556926,28.32347231204923,0.10505210113736735
contam eps=.10 s=3,212.3393062865904,11.08999309419064,0.10955145993529401,27.50942155352575,0.09910809558192409
