det,thr,ARL0,Gamma,se
cusum,4.0,166.4654290318249,12.443770665000457,0.02942223608300016
cusum,4.5,277.0474721854732,14.134370147917084,0.05087328357474851
cusum,5.0,456.9743455399412,15.902272695600269,0.08657626016571932
cusum,5.5,744.3175260765531,17.92746057346527,0.14428370483792008
cusum,6.0,1202.410416720158,19.604583865255112,0.23927094770895604
sr,5.8,290.601970027979,15.623026611929912,0.0522881014535154
sr,6.3,474.46647747428165,17.484074737524377,0.08871298916330751
sr,6.8,771.0278903973217,19.407338138785097,0.14873981015093188
