family,h_matched,ARL0,Gamma_psi,se,Gamma_Tonly,rho_c
Gaussian (control),5.0,455.32501844059806,15.90238320226914,0.08608127709529269,15.90238320226914,0.06710336101461496
"t, nu=5",5.744384765625,483.787771736449,13.510704411894384,0.25613970314984297,34.547561498537455,0.07993155038090928
"t, nu=3",6.451904296875,481.6735115962605,8.405517195749422,0.6600006407671555,100.43487489910054,0.13503445790038468
contam eps=.05 s=3,6.038818359375,487.0435901512291,13.9827728813498,0.26020235740442577,35.2501675989971,0.07702514779693438
contam eps=.10 s=3,6.095947265625,484.2289968078903,14.561586065842137,0.25780855206438363,33.83142318287254,0.0737376878445451
