m,Gamma_m_cusum,se_cusum,rho_c_cusum,Gamma_m_sr,se_sr,rho_c_sr
1,15.832822842496235,0.09114880009197762,0.06741805053688005,17.43921514032527,0.09338334956069727,0.060830154691935846
5,10.147259077332818,0.056425581137595736,0.10932236548082802,11.039933547919981,0.05753870416740677,0.09960225286622286
10,7.084301490379702,0.037238164499352876,0.16435740431028395,7.938049947815999,0.0395823119483064,0.1441327184902706
20,4.248259208064722,0.02131578885147211,0.3078572047197518,4.8363691552539,0.023231008938672287,0.2606631321259848
50,2.350436032119525,0.010605722446000145,0.7405015685418941,2.5897941164137515,0.011383073545048637,0.6290122662271479
75,1.9594319726565428,0.008231263198376195,,2.1111272394976894,0.00876313135803765,0.8999869361964998
100,1.7739963899562443,0.007081842859998634,,1.8836850517520498,0.0074876072234592835,
150,1.6021321308377423,0.005983668492003371,,1.6733336299670187,0.006244282160695692,
250,1.4831814821062679,0.005195624284403888,,1.5304050850861848,0.005343797782345853,
