e,A,deficit,ratio
0.0025,465.34847733492114,0.0949226650788546,15187.626412616737
0.005,465.0637748096868,0.3796251903132202,15185.007612528807
0.0075,464.58998148693394,0.8534185130660603,15171.884676729962
0.01,463.92815956397084,1.5152404360291598,15152.404360291597
0.015,462.04675388612185,3.3966461138781483,15096.204950569549
0.02,459.43622728596455,6.007172714035448,15017.93178508862
0.03,452.1247971707391,13.318602829260897,14798.447588067664
0.04,442.240957990916,23.202442009083995,14501.526255677496
