basis,Gamma,rho_c
certified lower endpoint,3.9243,0.34196217898300446
MC point estimate,15.8743,0.06723005452357422
solver (this session),15.886847778434642,0.0671733878711797
certified upper endpoint,27.8494,0.03724478014406281
