e,A_N100,A_N200,A,F1
0.0,465.0725064603802,465.35071365283585,465.44344938365435,-1.9994310028717898e-15
0.025,455.7599597574061,456.0295457663787,456.1194077693696,-0.36629920015103573
0.05,429.7737956282962,430.0198835372126,430.1019128401847,-0.6997557683150832
0.07500000000000001,392.03966685933966,392.2531075133445,392.3242543980128,-0.9777741916067892
0.1,348.4124501070379,348.59034539624963,348.6496438259869,-1.1921303196329338
0.125,303.89650255871936,304.0406039231236,304.0886377112584,-1.3464175025209704
0.15000000000000002,261.8578918039036,261.97243472287886,262.0106156958706,-1.4506020227297582
0.17500000000000002,224.07896717076434,224.1689680153553,224.1989682968856,-1.5162795877111641
0.2,191.18748745615247,191.25775325447268,191.28117518724608,-1.5539447291434
0.225,163.11408045485516,163.16877626621863,163.1870082033398,-1.5719729304785879
0.25,139.4369595162342,139.47950307335486,139.49368425906175,-1.576579209362446
0.275,119.59893210224665,119.63204361716882,119.64308078880954,-1.5721751888683475
0.30000000000000004,103.02738992419434,103.05319786468718,103.06180051151813,-1.5618074895019403
0.325,89.19244819387438,89.21260284688536,89.21932106455569,-1.5475448042049542
0.35000000000000003,77.6297205512178,77.64549576235177,77.6507541660631,-1.530777679904299
0.375,67.944599866139,67.95697727354326,67.96110307601134,-1.5124355425802045
0.4,59.80781320650157,59.81754926293443,59.82079461507871,-1.493137896619676
0.42500000000000004,52.94753178868795,52.95520998061104,52.95776937791874,-1.4732972988812865
0.45,47.14071081928814,47.14678190728046,47.14880560327791,-1.4531885494208439
0.47500000000000003,42.20490336703483,42.2097162283355,42.21132051543572,-1.4329948236967531
0.5,37.991042629330266,37.994867845541435,37.99614291761183,-1.4128383073888877
0.55,31.264062935706686,31.26649735202504,31.26730882413116,-1.3729357315531967
0.6000000000000001,26.22693191648201,26.22849545588192,26.229016635681887,-1.333857112773315
0.6500000000000001,22.385511319430904,22.386523199607453,22.386860492999634,-1.2957657240883445
0.7000000000000002,19.4031581431731,19.403816374345364,19.40403578473612,-1.258727145987789
0.7500000000000002,17.047754264025876,17.048183009488582,17.048325924642818,-1.222761282832847
0.8000000000000003,15.157158463430003,15.15743647489489,15.157529145383187,-1.1878662278875216
0.8500000000000003,13.61656369425816,13.616741522446116,13.616800798508768,-1.15402942590209
0.9000000000000004,12.343545033884958,12.343655533266553,12.343692366393752,-1.1212330068331824
0.9500000000000004,11.278096460531152,11.278161258194627,11.278182857415786,-1.0894563961374149
1.0000000000000004,10.375925228957012,10.375958745833433,10.375969918125573,-1.0586776287100148
1.0500000000000005,9.603890545292826,9.603902520947113,9.603906512831875,-1.0288740340408447
1.1000000000000005,8.936866395064088,8.936863489758348,8.936862521323102,-1.0000226105039527
1.1500000000000006,8.355559320908489,8.355546143514745,8.355541751050163,-0.972100242811889
1.2000000000000006,7.8449729648460425,7.8449527400557315,7.844945998458961,-0.9450838384445895
1.2500000000000007,7.393315185512409,7.393290192128075,7.393281860999963,-0.9189504208335615
1.3000000000000007,6.991211223769676,6.991183086162894,6.991173706960633,-0.8936771982327071
1.3500000000000008,6.631130765090295,6.631100649427796,6.63109061087363,-0.8692416176535597
1.4000000000000008,6.306966094088494,6.30693484208515,6.306924424750702,-0.8456214082553397
1.4500000000000008,6.013718114661105,6.013686335868164,6.013675742937184,-0.822794615857708
1.5000000000000009,5.74726018774568,5.747228323990812,5.747217702739189,-0.8007396286552964
1.6,5.281535342738234,5.281504178199607,5.281493790020065,-0.7588604189685347
1.7000000000000002,4.888370249229083,4.888340455500365,4.888330524257459,-0.7198180367022814
1.8000000000000003,4.552332921744528,4.5523048190508995,4.552295451486357,-0.6834518472427358
1.9000000000000004,4.262037211900196,4.262010924438471,4.262002161951229,-0.6496045125510769
2.0000000000000004,4.008903672137524,4.008879213699533,4.008871060886869,-0.6181186204244847
2.1000000000000005,3.786346708115459,3.7863240293875444,3.7863164698115725,-0.5888315531325582
2.2000000000000006,3.589228055441071,3.5892070693426876,3.58920007397656,-0.5615687327143638
2.3000000000000007,3.4134816975058206,3.413462291616876,3.4134558229872276,-0.536135950029145
2.400000000000001,3.255852287792989,3.2558343293760053,3.255828343237011,-0.5123122415111941
2.500000000000001,3.113710608150778,3.1136939456063866,3.1136883914249225,-0.48984556531285284
2.600000000000001,2.984922240837564,2.984906704624198,2.9849015258864093,-0.4684540733530844
2.700000000000001,2.8677531083252923,2.8677385138078018,2.8677336489686382,-0.4478357376422954
2.800000000000001,2.7607999712163798,2.7607861251954215,2.7607815098551023,-0.42768817753460303
2.9000000000000012,2.6629367194219564,2.66292343105616,2.662919001600894,-0.407738661574699
3.0000000000000013,2.573269257383232,2.5732563528922467,2.5732520513952517,-0.387781666138389
3.5,2.2274816608775176,2.227469670098678,2.2274656731723983,-0.2897091118214094
4.0,2.0125788873164066,2.012570364300611,2.012567523295346,-0.23474088771148693
5.0,1.6938024238394276,1.6938016162005285,1.6938013469875621,-0.35723248580469963
6.0,1.3085485924406641,1.3085485842821998,1.3085485815627116,-0.35210013260372897
8.0,1.006209665326547,1.0062096653265458,1.0062096653265453,-0.01752830049749517
10.0,1.000003397673128,1.0000033976731302,1.000003397673131,-1.5983741126509205e-05
