e,e_index,n_paths,n_batches,F1,F1_se,F1_batch_sd,mean_tau,mean_tau_se,median_tau,alarm_up_proportion,F_rho_1,F_rho_1_se
-1.35,0,800000,20,0.869150744247658,0.0008591275832649488,0.004712378832936061,6.6324475,0.003117677396648044,6.0,1.0,0.869150744247658,0.0008591275832649488
-1.3125,1,800000,20,0.8872266926430105,0.0008533632046877576,0.004199671436623582,6.8992575,0.0033071502811969273,6.0,1.0,0.8872266926430105,0.0008533632046877576
-1.2750000000000001,2,800000,20,0.9072776742107146,0.0008483784176684116,0.003250121822603091,7.189165,0.003523844051645146,7.0,1.0,0.9072776742107146,0.0008483784176684116
-1.2375,3,800000,20,0.9248026916021111,0.0008442133637447862,0.0036847777164931987,7.503995,0.0037586854696308823,7.0,1.0,0.9248026916021111,0.0008442133637447862
-1.2000000000000002,4,800000,20,0.9453634281386682,0.0008384319607349404,0.003605258698526454,7.84750625,0.004012847416292346,7.0,1.0,0.9453634281386682,0.0008384319607349404
-1.1625,5,800000,20,0.9660169854963229,0.0008330274008482541,0.004069762400831655,8.22641375,0.004317301559264723,7.0,1.0,0.9660169854963229,0.0008330274008482541
-1.125,6,800000,20,0.9861353406429014,0.0008285704112784682,0.0037720666524428815,8.639095,0.00463996654221026,8.0,1.0,0.9861353406429014,0.0008285704112784682
-1.0875000000000001,7,800000,20,1.0068529831842896,0.0008248224614549215,0.005135127910602817,9.0966975,0.005017171110982228,8.0,0.9999987499999999,1.0068529831842896,0.0008248224614549215
-1.05,8,800000,20,1.0288039352293874,0.0008197915101804204,0.0036184535604866525,9.6063575,0.005438433846103634,9.0,1.0,1.0288039352293874,0.0008197915101804204
-1.0125,9,800000,20,1.050485546957075,0.0008136972476114322,0.0035205647952331787,10.1731475,0.005913363828134913,9.0,1.0,1.050485546957075,0.0008136972476114322
-0.9750000000000001,10,800000,20,1.0743709540241182,0.0008112393810091608,0.0032529264895548304,10.81354625,0.006481370250308886,9.0,1.0,1.0743709540241182,0.0008112393810091608
-0.9375,11,800000,20,1.0995429254581552,0.0008059073027773308,0.004101250795031874,11.528555,0.007117679157679454,10.0,1.0,1.0995429254581552,0.0008059073027773308
-0.9,12,800000,20,1.1216200597129888,0.0008019099008671874,0.0026767395544397498,12.34826,0.007852421134029114,11.0,0.9999962499999999,1.1216200597129888,0.0008019099008671874
0.0,13,800000,20,0.0037934947122940117,0.0022515062098573944,0.011244516704912293,464.94405875,0.5123674377274547,324.0,0.5008425,0.0037934947122940117,0.0022515062098573944
0.9,14,800000,20,-1.121167662989614,0.000801423822177152,0.004282507834763109,12.3394875,0.007854145197357615,11.0,2.5e-06,-1.121167662989614,0.000801423822177152
0.9375,15,800000,20,-1.0976939768166942,0.0008049645510364321,0.0037692621338008625,11.526015,0.007127428666778644,10.0,2.5e-06,-1.0976939768166942,0.0008049645510364321
0.9750000000000001,16,800000,20,-1.075258209151853,0.0008106458695113551,0.004016075611841881,10.809045,0.006469756375409603,9.0,0.0,-1.075258209151853,0.0008106458695113551
1.0125,17,800000,20,-1.0520551426293623,0.000814580997138882,0.004633641188653025,10.16982875,0.005929422094913616,9.0,1.25e-06,-1.0520551426293623,0.000814580997138882
1.05,18,800000,20,-1.028892047860926,0.000818930136604568,0.0034776516664495882,9.601985,0.005442609516786657,9.0,0.0,-1.028892047860926,0.000818930136604568
1.0875000000000001,19,800000,20,-1.0065252856498994,0.0008247055941314554,0.004865312224158559,9.09011625,0.0050089720004815414,8.0,0.0,-1.0065252856498994,0.0008247055941314554
1.125,20,800000,20,-0.9862671437193387,0.0008285004167527364,0.005141916451170073,8.63182375,0.0046358240219242985,8.0,0.0,-0.9862671437193387,0.0008285004167527364
1.1625,21,800000,20,-0.9652715981058649,0.0008338622792279462,0.00411862402159879,8.21909625,0.004303967879668633,7.0,0.0,-0.9652715981058649,0.0008338622792279462
1.2000000000000002,22,800000,20,-0.9455336515425978,0.0008388504256748741,0.003913328649391101,7.84481875,0.004020562568623296,7.0,0.0,-0.9455336515425978,0.0008388504256748741
1.2375,23,800000,20,-0.9276091609857819,0.0008434854898435072,0.004274681769627093,7.4976725,0.0037534273789033203,7.0,0.0,-0.9276091609857819,0.0008434854898435072
1.2750000000000001,24,800000,20,-0.907782598919695,0.0008493398206947599,0.003914190212317963,7.18671,0.0035181967599909126,7.0,0.0,-0.907782598919695,0.0008493398206947599
1.3125,25,800000,20,-0.8886263397068221,0.0008535937663212308,0.0035451812878897547,6.89520875,0.0033040734254902388,6.0,0.0,-0.8886263397068221,0.0008535937663212308
1.35,26,800000,20,-0.8696484650543731,0.0008585803062424899,0.0035228727852718703,6.6293575,0.003112303472435379,6.0,0.0,-0.8696484650543731,0.0008585803062424899
