e,e_index,n_paths,n_batches,F1,F1_se,F1_batch_sd,mean_tau,mean_tau_se,median_tau,alarm_up_proportion,F_rho_1,F_rho_1_se
-1.35,0,800000,20,0.8699977829576464,0.0008592872447981204,0.0026461540336587446,6.63230625,0.003117420763733049,6.0,1.0,0.8699977829576464,0.0008592872447981204
-1.3125,1,800000,20,0.8894756622778746,0.0008537205010878689,0.0043185744524024995,6.8896625,0.003298216661001611,6.0,1.0,0.8894756622778746,0.0008537205010878689
-1.2750000000000001,2,800000,20,0.9059708815178913,0.0008487237460573133,0.003708801568802149,7.18141875,0.003512472566549803,7.0,1.0,0.9059708815178913,0.0008487237460573133
-1.2375,3,800000,20,0.9251527799739095,0.0008427817921666151,0.003985547102156599,7.503045,0.003758101640340329,7.0,1.0,0.9251527799739095,0.0008427817921666151
-1.2000000000000002,4,800000,20,0.9453535682236891,0.000838580486827725,0.004255505421938183,7.84340875,0.004017228377337302,7.0,1.0,0.9453535682236891,0.000838580486827725
-1.1625,5,800000,20,0.9654921703393635,0.0008331803816902986,0.0032916719824493718,8.2232675,0.004305340456833844,7.0,1.0,0.9654921703393635,0.0008331803816902986
-1.125,6,800000,20,0.9872683441718013,0.0008298746380335437,0.0036782434615875263,8.63585625,0.004640300651860566,8.0,1.0,0.9872683441718013,0.0008298746380335437
-1.0875000000000001,7,800000,20,1.0074023482640733,0.0008239008618845402,0.00367709663889907,9.0929575,0.005002859361379692,8.0,1.0,1.0074023482640733,0.0008239008618845402
-1.05,8,800000,20,1.0296261291427966,0.0008192364772493132,0.002935289835195526,9.60099125,0.00542918447414843,9.0,1.0,1.0296261291427966,0.0008192364772493132
-1.0125,9,800000,20,1.0514781568254423,0.0008158188241753659,0.0032091406995102957,10.1682475,0.005912998947477953,9.0,1.0,1.0514781568254423,0.0008158188241753659
-0.9750000000000001,10,800000,20,1.0743334468135919,0.0008109914977665529,0.003238713199102593,10.81977625,0.006488271413443055,9.0,0.9999987499999999,1.0743334468135919,0.0008109914977665529
-0.9375,11,800000,20,1.0974786935433107,0.0008055709822905973,0.003316788201396942,11.54347625,0.007123691815227465,10.0,0.9999987499999999,1.0974786935433107,0.0008055709822905973
-0.9,12,800000,20,1.1197665787098001,0.0008022397132645848,0.004536139428312542,12.34455625,0.007865796932872355,11.0,0.9999974999999999,1.1197665787098001,0.0008022397132645848
0.0,13,800000,20,-0.0024925382231436415,0.0022507300768176983,0.01124302975124105,465.79579625,0.5131866793169011,325.0,0.49925375,-0.0024925382231436415,0.0022507300768176983
0.9,14,800000,20,-1.1222183858993717,0.0008029984744410108,0.004285510497537343,12.33566625,0.007843915711048326,11.0,0.0,-1.1222183858993717,0.0008029984744410108
0.9375,15,800000,20,-1.098730908918942,0.0008061600520571943,0.0038711924757897855,11.52842375,0.007116779489258662,10.0,1.25e-06,-1.098730908918942,0.0008061600520571943
0.9750000000000001,16,800000,20,-1.0730704700821476,0.0008112198739501779,0.0033336011219242427,10.80244875,0.006467689317351729,9.0,0.0,-1.0730704700821476,0.0008112198739501779
1.0125,17,800000,20,-1.0524284289637493,0.0008161518459407168,0.004261474668292367,10.17524875,0.005933250777302463,9.0,0.0,-1.0524284289637493,0.0008161518459407168
1.05,18,800000,20,-1.0281776102775522,0.000820990150255077,0.003512534782782318,9.6056675,0.005440778779448476,9.0,0.0,-1.0281776102775522,0.000820990150255077
1.0875000000000001,19,800000,20,-1.0080518244490635,0.0008246622322653697,0.0036100764202467287,9.10516125,0.005017177684412118,8.0,0.0,-1.0080518244490635,0.0008246622322653697
1.125,20,800000,20,-0.9851326411692399,0.0008296099748985731,0.003500863046515503,8.64055875,0.004650202262023061,8.0,0.0,-0.9851326411692399,0.0008296099748985731
1.1625,21,800000,20,-0.9640127282228715,0.0008347229439261084,0.0032682404448683626,8.22234875,0.004314629314813667,7.0,1.25e-06,-0.9640127282228715,0.0008347229439261084
1.2000000000000002,22,800000,20,-0.9438537192944555,0.0008385198434685325,0.003630735265449077,7.849935,0.004019194438830208,7.0,0.0,-0.9438537192944555,0.0008385198434685325
1.2375,23,800000,20,-0.9254131063280414,0.0008439186948994708,0.0040175699480696665,7.5002525,0.003754392682530053,7.0,0.0,-0.9254131063280414,0.0008439186948994708
1.2750000000000001,24,800000,20,-0.906646322516682,0.0008481131280918438,0.004472882572185904,7.18911375,0.003523169232431643,7.0,0.0,-0.906646322516682,0.0008481131280918438
1.3125,25,800000,20,-0.8865709482154293,0.000853590846327787,0.003934000096072985,6.90022375,0.003306461360469578,6.0,0.0,-0.8865709482154293,0.000853590846327787
1.35,26,800000,20,-0.8685364504048018,0.0008590308799756247,0.0038263989103818822,6.63139125,0.0031144403668962417,6.0,0.0,-0.8685364504048018,0.0008590308799756247
