layer,detector,family,family_class,m,arl,gamma,gamma_se,route_b_gamma,route_b_se,correspondence_verdict,mean_window_at_zero,origin_is_fixed_point,expected_short_correction,fixed_denominator_gain,gaussian_form_gain,stability_status,critical_rho
reduced,cusum@2,gaussian,THEOREM-SUPPORTED,1,19.279979333333333,6.198161347694672,0.0025677691842622766,6.19460944083637,0.015422704668671693,PASS,0.00028305197250289303,True,0.0,6.198161347694672,6.198161347694672,CLASSIFIED,0.192375713855725
reduced,cusum@2,gaussian,THEOREM-SUPPORTED,2,19.279979333333333,4.725071607733235,0.0019859016034816743,4.719862830132907,0.011424344280776514,PASS,0.00014190133848219927,True,0.04978760736049347,4.675284000372742,4.725071607733235,CLASSIFIED,0.2684512152528836
reduced,cusum@2,gaussian,THEOREM-SUPPORTED,3,19.279979333333333,3.761069419595954,0.0015263775986273961,3.7570722874927953,0.009177956021265123,PASS,0.00012136253951176426,True,0.12953486226653976,3.6315345573294144,3.761069419595954,CLASSIFIED,0.3621785069592118
reduced,cusum@2,gaussian,THEOREM-SUPPORTED,5,19.279979333333333,2.754195442429488,0.0011714838790356354,2.7557526028641277,0.005859776970771357,PASS,0.00010275162072685699,True,0.2939546634232299,2.4602407790062575,2.754195442429488,CLASSIFIED,0.5700619074776762
reduced,cusum@2,laplace,THEOREM-SUPPORTED,1,19.545558833333335,4.98337246812106,0.005027921552212615,5.017393489885474,0.013816707579315973,PASS,0.00036243084097928834,True,0.0,4.98337246812106,8.702578395096976,CLASSIFIED,0.2510435586937959
reduced,cusum@2,laplace,THEOREM-SUPPORTED,2,19.545558833333335,3.540673567932578,0.0029904115834836348,3.5653174190339953,0.008681332763916841,PASS,0.00028772434508297717,True,0.06602402859972695,3.4746495393328503,5.513139510820537,CLASSIFIED,0.3935964118419707
reduced,cusum@2,laplace,THEOREM-SUPPORTED,3,19.545558833333335,2.8780631308482505,0.002187740703599489,2.8938844075369126,0.00689584603722436,PASS,0.0001300180446807193,True,0.13541278361949025,2.74265034722876,4.211117198998675,CLASSIFIED,0.5324634638604175
reduced,cusum@2,laplace,THEOREM-SUPPORTED,5,19.545558833333335,2.2248598253288647,0.0014180022346169327,2.2363034184140815,0.004905478158603765,PASS,2.400218843405688e-05,True,0.2631973172816941,1.9616625080471708,3.079234894227357,CLASSIFIED,0.8164199521618797
reduced,cusum@2,logistic,THEOREM-SUPPORTED,1,19.527903666666663,5.6204272802331445,0.0043587906006901074,5.610511611999007,0.012369039431629288,PASS,-0.0018710897949026169,True,0.0,5.6204272802331445,7.34896148477231,CLASSIFIED,0.21643019992504686
reduced,cusum@2,logistic,THEOREM-SUPPORTED,2,19.527903666666663,4.1602894792828025,0.0028453384028578337,4.152637977950313,0.008553811220291849,PASS,-0.0012907117474849799,True,0.05802926306390982,4.102260216218892,5.054688228470112,CLASSIFIED,0.31642670918454613
reduced,cusum@2,logistic,THEOREM-SUPPORTED,3,19.527903666666663,3.3536006739911577,0.0020177394605928297,3.3460631354811197,0.006965689556083745,PASS,-0.0009942979945643264,True,0.13147513066388566,3.2221255433272717,3.944644368864066,CLASSIFIED,0.42488091163920055
reduced,cusum@2,logistic,THEOREM-SUPPORTED,5,19.527903666666663,2.517646596868123,0.0014588786277198056,2.513542061628822,0.005532994122713499,PASS,-0.0005388118656480781,True,0.2760082731314966,2.2416383237366264,2.894844893611657,CLASSIFIED,0.6589149292487727
