family,gamma_f,gamma_f_se,route_a_predicted_derivative,route_a_se,route_b_primary_derivative,route_b_se,correspondence_abs_z,correspondence_relative,replication_abs_z,replication_relative,arl,historical_arl,arl_relative_error,pass
gaussian,15.937502174003612,0.05744459815424797,-14.937502174003612,0.05744459815424797,-14.792658389018802,0.06614690128899887,1.653302580266455,0.009743895239164116,0.04534933483693075,0.0004077155900742958,464.6383854166667,465.599551,0.002064361061493547,True
t10,15.545882536034767,0.0701708621514058,-14.545882536034767,0.0701708621514058,-14.331216580047,0.08435938462100653,1.9563281915371922,0.01486755682243851,0.5466514739248345,0.006459509157516482,467.2984645833333,466.565783,0.0015703714460630902,True
t5,13.363845048614754,0.15878166469630847,-12.363845048614754,0.15878166469630847,-12.177926905306398,0.1106447468280964,0.960668130205215,0.015151158902252885,0.6771482247968297,0.012339921254146331,465.5625333333333,464.873177,0.0014828911785833565,True
t3,8.710087311547682,0.46316921962911367,-7.710087311547682,0.46316921962911367,-7.633763132791334,0.13386349241353981,0.15830764400154898,0.009948503999464772,1.3182234438470144,0.04605351425844214,465.82039375,465.891191,0.00015196091140512458,False
contam0.05,15.381661706839841,0.1430880592680154,-14.381661706839841,0.1430880592680154,-14.72311685707722,0.1115874000810436,1.881761473608643,0.023463854877817356,0.5614613528343767,0.008541539063714396,464.68475416666666,465.742994,0.002272154056993436,True
contam0.1,18.31956944198672,0.11720651678408295,-17.31956944198672,0.11720651678408295,-17.173701668391075,0.13622715846062172,0.8116902380447287,0.008457752419529566,0.09873596854520673,0.001574637269770847,464.57927500000005,464.356687,0.00047934703264007616,True
