m,n_paths,n_batches,gamma,gamma_se,F1_prime_0,F1_prime_0_se,arl_0,mean_t_tau_sq,wald_second_gap,master_seed,seed_replicate
1,2000000,20,15.877891309912027,0.028513353704494922,-14.877891309912027,0.028513353704494922,465.5477525,465.3104108159071,-0.2373416840928826,20260820,0
1,2000000,20,15.893567570054985,0.02852220154449399,-14.893567570054985,0.02852220154449399,465.6102635,465.6395608351011,0.029297335101148292,20260820,1
