e_bin_center,n,emp_F,det_F1,emp_A,det_A,resid
-2.7088373573307685,29920,0.4418800455408195,0.44604127887124,2.865374331550802,2.8579080108190555,-0.004161233330420511
-2.2188817701964094,72766,0.5630374350150171,0.55664217261159,3.5700464502652336,3.554515923129247,0.006395262403427138
-1.7293592094543893,133384,0.7070278935252375,0.7088903735502934,4.83842139986805,4.784361644476171,-0.001862480025055846
-1.346043750901971,108077,0.8707718734955555,0.8711727672703378,6.715045754415833,6.65824128113195,-0.00040089377478225163
-1.0483118384489072,120183,1.030663160484697,1.0298954059830479,9.807801436143215,9.62812095763284,0.0007677545016491205
-0.7504854134767671,122542,1.2223643979562342,1.2224436920868897,17.746952065414305,17.02738351522782,-7.929413065554947e-05
-0.5006104231565233,77935,1.4121246142870056,1.4123581735095323,39.67816770385578,37.89610475662446,-0.00023355922252665806
-0.3006757554714086,74950,1.548995368509113,1.561433161739176,110.3727018012008,102.61968834003477,-0.012437793230062999
-0.14016691514249283,44005,1.3664469078621693,1.4146916613106206,281.65835700488583,277.95225376336754,-0.04824475344845136
-0.0002057584135222909,57949,0.004771608643236476,0.0030623618408348423,434.36506238243976,465.0718638127751,0.001709246802401634
0.14010375958652457,43482,-1.3709723199288686,-1.4144412787810203,282.8993836530058,278.05763627300064,0.04346895885215174
0.30075864990505646,74584,-1.5535178661047149,-1.5613910728543243,109.82618255926204,102.56981279700777,0.007873206749609452
0.5011446419043394,77710,-1.414976916478554,-1.411928634935959,39.29137820100373,37.81331023045883,-0.003048281542594955
0.7507760511929298,122227,-1.220513512752523,-1.2222378405363756,17.800240536051774,17.015207423119982,0.001724327783852564
1.0488045563534163,120716,-1.030253776963083,-1.0296061690963945,9.769094403393089,9.62103654696357,-0.0006476078666886043
1.346003441730441,108433,-0.8677514154068736,-0.8711921882274403,6.711785157654957,6.658518666651453,0.003440772820566651
1.7297788516422747,134114,-0.7132779842411882,-0.7087355433030911,4.84188078798634,4.7829089462840715,-0.004542440938097081
2.2184829293950425,72068,-0.5614229336800447,-0.5567457779747538,3.5752345007492923,3.555241459720728,-0.004677155705290925
2.708714393923022,29892,-0.4392774774580013,-0.446066234876656,2.872173156697444,2.858044453753683,0.006788757418654701
