N,rho,e_star,F1p,mult
50,0.5,0.6484930944624858,0.7518418682505579,0.14131654871362231
50,1.0,1.036782356366913,0.5915228693857966,0.34989930500640615
100,0.5,0.648469186812485,0.7520126282619666,0.14138074826636768
100,1.0,1.0367242887184211,0.5915457061865803,0.34992632250778
200,0.5,0.648463226437277,0.7520553709330358,0.14139682023730651
200,1.0,1.0367097885312826,0.5915514516383613,0.3499331199354525
