rho,e_star,F1p_estar,multiplier,attracting,A_estar
0.08,0.08723485410689283,-8.594124522866952,0.47269744841307604,True,371.08036424245176
0.1,0.14229813287984672,-3.8179908470306057,0.14577054108009482,True,274.41057744746126
0.15,0.2363019361167484,-0.19900051564514243,0.000891027117608233,True,151.89770506133735
0.2,0.3111596538196531,0.5656343770100158,0.01279768993822035,True,96.54281048117329
0.3,0.4386921099113362,0.8047942045718015,0.05829243405411228,True,49.64925144051077
0.4,0.549377342666232,0.7907287180304312,0.10004030488288787,True,31.33621046417587
0.5,0.648469186812485,0.7520126282619666,0.14138074826636768,True,22.48896231027567
0.6,0.7385549853073494,0.7134541117041482,0.18324603702271985,True,17.540913639912397
0.7,0.821331315038565,0.6782390547998007,0.22540402557330622,True,14.462497574493788
0.8,0.8980289801104708,0.6464491723344734,0.26745378074363246,True,12.389462017862316
0.9,0.9695830335611944,0.6176905164129165,0.30904867499382893,True,10.907340632096275
1.0,1.0367242887184211,0.5915457061865803,0.34992632250778,True,9.79772270121652
