m,stage_a_gain,stage_a_gain_se,stage_a_derivative,stage_d_gain,stage_d_gain_se,stage_d_derivative,gain_difference_D_minus_A,gain_difference_se,ci95_low,ci95_high,derivative_difference_D_minus_A,standardized_gain_difference,fixed_denominator_gain,stopping_time_component,short_correction,short_correction_se,short_cycle_probability,decomposition_abs_discrepancy,decomposition_combined_se,decomposition_abs_z
1,15.872827982206106,0.02852493912160567,-14.872827982206106,15.912827257348685,0.028565128726222338,-14.912827257348685,0.039990554073935536,0.04036878925878575,-0.03913227287328454,0.11911338102115561,-0.039990554073935536,0.000990630327079632,15.912827257348685,0.03999927514257884,0.0,0.0,0.0,0.09531839264915279,0.04036937750796852,2.3611558694542136
2,13.219349364309192,0.023652542880052696,-12.219349364309192,13.286138101460281,0.023701533480762118,-12.286138101460281,0.0667826641499925,0.03348440763463395,0.0011532251861099546,0.13241210311387502,-0.0667826641499925,0.0019944404349969557,13.286130517688788,0.06678115337959589,7.587450506575695e-06,7.587450506575695e-06,5e-07,0.08527950290632938,0.033496417462906485,2.5459290684075944
5,10.157672216727288,0.017684040925136788,-9.157672216727288,10.21176098389639,0.017704852814527636,-9.21176098389639,0.05408803604388457,0.02502373133874728,0.005041522619939898,0.10313454946782924,-0.05408803604388457,0.002161469069688677,10.209247078211236,0.05157486148394774,0.0025119296205633078,8.189104950304135e-05,0.000647,0.06524376498213251,0.025033590549494993,2.606248786131428
10,7.0847853988386245,0.011663454302231827,-6.0847853988386245,7.109616575014726,0.011665053255980535,-6.109616575014726,0.024818230276597252,0.016495762148808525,-0.007513463535067457,0.05714992408826196,-0.024818230276597252,0.0015045199936367312,7.087049835878626,0.0022644370400017877,0.02256694401124762,0.00024307864111795002,0.0073225,0.04714291614862966,0.01649699923326116,2.8576661417053577
20,4.2076406507249215,0.006716257706908458,-3.2076406507249215,4.266311932041252,0.006680955478237996,-3.266311932041252,0.058670505682880306,0.009473295145837397,0.04010284719703901,0.0772381641687216,-0.058670505682880306,0.006193246233324776,4.1887343257680545,-0.01890632495686706,0.07757686453172902,0.0004593236130775561,0.027672,0.029548600484733546,0.009439604441340385,3.1302795226595075
50,2.212704958227439,0.003374149430519217,-1.2127049582274392,2.3659178806039467,0.003317072135457496,-1.3659178806039467,0.15320927042518542,0.00473158382940317,0.1439353661195552,0.16248317473081564,-0.15320927042518542,0.032380105966550575,2.164456060438951,-0.048248897788488065,0.20146106540772823,0.0007359620912685129,0.089475,0.012018208411129523,0.004686375390747622,2.5644997272000967
