e,e_index,n_paths,n_batches,F1,F1_se,F1_batch_sd,mean_tau,mean_tau_se,median_tau,alarm_up_proportion,F_rho_0.1,F_rho_0.1_se
-0.21750000000000003,0,20000,10,1.5777392373683536,0.006316497777485863,0.01469600352048441,170.01665,1.1485611687136166,120.0,0.97635,0.166533651013614,0.006430072681011266
-0.20900000000000002,1,20000,10,1.5663008530920068,0.006700604236218195,0.02259359612695775,179.24085,1.2102795507209976,127.0,0.9696999999999999,0.15771661225955314,0.006398244425671527
-0.2005,2,20000,10,1.5584315699968796,0.006899940360457077,0.02396348186156806,191.6639,1.3113049656259004,134.0,0.9667499999999999,0.1576499257153483,0.006396128057615126
-0.192,3,20000,10,1.531264358833928,0.007198955997387199,0.021048139980254347,200.2188,1.3477481432303584,143.0,0.9593999999999999,0.13877124946141123,0.006425771808286074
-0.1835,4,20000,10,1.5259165893176643,0.007440255731750759,0.018826551430780037,211.24435,1.446752375762941,149.0,0.9541499999999999,0.15616777707050072,0.006431573571556021
-0.175,5,20000,10,1.5124074632249498,0.007549397889974809,0.017300202348490168,224.9049,1.563419776281899,157.5,0.9490999999999998,0.15844417003205052,0.0064304214138404215
-0.16649999999999998,6,20000,10,1.5128173930160083,0.007826858256472412,0.01657588755615312,236.7009,1.6351436394688952,166.0,0.9452499999999999,0.15052729033002457,0.006439373087572053
-0.158,7,20000,10,1.4621950970019082,0.008275644040137297,0.018529471472386507,249.64515,1.7178174237703332,174.0,0.93345,0.1511867638831174,0.006430745463949989
-0.1495,8,20000,10,1.4558789915759447,0.008673668511384363,0.02709405382643198,263.02015,1.8117843470802175,184.0,0.9233,0.13997573782937958,0.0064139841760523925
-0.141,9,20000,10,1.400709860776836,0.008997011347766287,0.020100943772728266,276.398,1.8971732783597828,193.5,0.9125,0.14135815617684452,0.006421808931224674
-0.13249999999999998,10,20000,10,1.3743386601850915,0.00932200930644418,0.029257822645552566,290.4295,2.0036678381727313,204.0,0.9009499999999999,0.14311426902382915,0.006449063037826773
0.0,11,20000,10,0.001180151950177364,0.014202033158736945,0.03745950147855079,468.12355,3.261638188618343,325.0,0.5017500000000001,0.0013118778940771072,0.0065426407646274505
0.13249999999999998,12,20000,10,-1.3937188807982541,0.00932463385652021,0.03616811580203445,289.9943,1.9980296530582884,203.0,0.0965,-0.13473973961512303,0.00644190984646249
0.141,13,20000,10,-1.4213022089932748,0.008835338592708332,0.021573865542459762,282.1808,1.928189941730474,200.0,0.08324999999999999,-0.12808610685255595,0.006423605480674182
0.1495,14,20000,10,-1.4541943770316803,0.008560041654254075,0.02636363561403851,261.1937,1.7799871689794804,184.0,0.0756,-0.137093539093507,0.006379990735103545
0.158,15,20000,10,-1.4785185020523006,0.008169657233266809,0.024965917023405247,248.7394,1.7099368902361367,175.0,0.06405,-0.15415211101562293,0.006401845265870229
0.16649999999999998,16,20000,10,-1.5148169668274505,0.00784435546130363,0.017919012604156702,237.20605,1.6444108698939344,166.0,0.05639999999999999,-0.15216361150519514,0.0064181366935985446
0.175,17,20000,10,-1.5036643417936648,0.007749887619458985,0.01319332257267329,225.41275,1.5288509062778346,161.0,0.05295,-0.15291778173529463,0.006401990735765538
0.1835,18,20000,10,-1.5254303424284354,0.007454691342949366,0.018781944582566004,212.4172,1.4491035529814158,149.0,0.04625,-0.15492095676953935,0.006377656991816446
0.192,19,20000,10,-1.5517825054908319,0.007103654282349347,0.013576447250795194,201.67565,1.3718940782808184,142.0,0.037849999999999995,-0.16496646683316912,0.006452295005953858
0.2005,20,20000,10,-1.5526144586809552,0.006876750198224998,0.028241503264421028,189.8815,1.2907591471092863,135.0,0.0341,-0.16212414594139404,0.00636098865399268
0.20900000000000002,21,20000,10,-1.5739851787566883,0.0066590538919507735,0.021560556322647147,181.61205,1.2316877830763866,128.0,0.027899999999999998,-0.17508135834731006,0.006418282073895676
0.21750000000000003,22,20000,10,-1.5636724389517007,0.006516473457772023,0.016243411325097903,172.49865,1.167666453725649,122.5,0.027450000000000002,-0.15769557726338376,0.006433647226131146
