e,e_index,n_paths,n_batches,F1,F1_se,F1_batch_sd,mean_tau,mean_tau_se,median_tau,alarm_up_proportion,F_rho_1,F_rho_1_se
-1.35,0,200000,20,0.8657228385550182,0.0017130670784270528,0.008584391254477628,6.63034,0.00623629312001604,6.0,1.0,0.8657228385550182,0.0017130670784270528
-1.3125,1,200000,20,0.8862607456570526,0.0017073238994772084,0.006123814253651693,6.89974,0.0066340944911908355,6.0,1.0,0.8862607456570526,0.0017073238994772084
-1.2750000000000001,2,200000,20,0.9026559956018526,0.0016992261531764946,0.007077240532322678,7.18474,0.007026969656510036,7.0,1.0,0.9026559956018526,0.0016992261531764946
-1.2375,3,200000,20,0.923959252497797,0.0016854408042695846,0.009312387772162804,7.50199,0.007521350480669363,7.0,1.0,0.923959252497797,0.0016854408042695846
-1.2000000000000002,4,200000,20,0.9426164858591063,0.0016795828436733308,0.008848862787154951,7.84667,0.008052913994487897,7.0,1.0,0.9426164858591063,0.0016795828436733308
-1.1625,5,200000,20,0.9650434118694285,0.0016687329620162393,0.008085620042368971,8.227905,0.008664248201711416,7.0,1.0,0.9650434118694285,0.0016687329620162393
-1.125,6,200000,20,0.9844069888442213,0.0016572456963685593,0.009474919430881495,8.63892,0.00928872906109538,8.0,1.0,0.9844069888442213,0.0016572456963685593
-1.0875000000000001,7,200000,20,1.0055180760617002,0.0016482856836867884,0.007757200698991907,9.09836,0.01004540099261376,8.0,1.0,1.0055180760617002,0.0016482856836867884
-1.05,8,200000,20,1.0284067854231327,0.0016348584206887142,0.008261406662977743,9.61245,0.010886026249983855,9.0,1.0,1.0284067854231327,0.0016348584206887142
-1.0125,9,200000,20,1.0521401990240127,0.0016262090762578726,0.009608126730348743,10.176805,0.011812701751059675,9.0,1.0,1.0521401990240127,0.0016262090762578726
-0.9750000000000001,10,200000,20,1.071155385659474,0.0016215708640904812,0.007400079046635804,10.80768,0.012922016095814922,9.0,1.0,1.071155385659474,0.0016215708640904812
-0.9375,11,200000,20,1.0957403525173426,0.0016071379568162578,0.0074451900858436585,11.53141,0.014240984203616526,10.0,1.0,1.0957403525173426,0.0016071379568162578
-0.9,12,200000,20,1.1199975229183936,0.0016013225394293058,0.00797681577669385,12.346675,0.015709156282557972,11.0,1.0,1.1199975229183936,0.0016013225394293058
0.0,13,200000,20,-0.007117336809405822,0.004499313921407596,0.018503675001837323,465.08304,1.027681223612302,324.0,0.49784000000000006,-0.007117336809405822,0.004499313921407596
0.9,14,200000,20,-1.1196682313965702,0.0016034320009711371,0.00815475270396264,12.340385,0.015693834672925185,11.0,0.0,-1.1196682313965702,0.0016034320009711371
0.9375,15,200000,20,-1.096263482409157,0.001612445974429798,0.007943879024114626,11.531075,0.014235091672028303,10.0,0.0,-1.096263482409157,0.001612445974429798
0.9750000000000001,16,200000,20,-1.0702905913467127,0.0016215487544202337,0.006111924760618228,10.813655,0.012965264871777243,9.0,0.0,-1.0702905913467127,0.0016215487544202337
1.0125,17,200000,20,-1.0515489937981108,0.0016282610143993537,0.00805688504162926,10.171375,0.011865767233054722,9.0,0.0,-1.0515489937981108,0.0016282610143993537
1.05,18,200000,20,-1.0276337937613496,0.0016418420502527155,0.006690310379821949,9.6026,0.010890011899065851,9.0,0.0,-1.0276337937613496,0.0016418420502527155
1.0875000000000001,19,200000,20,-1.006847948353506,0.001649207032695489,0.007666258724769239,9.09077,0.01001830354239326,8.0,0.0,-1.006847948353506,0.001649207032695489
1.125,20,200000,20,-0.9858566682797854,0.0016580653762681685,0.007977429917826608,8.632865,0.009250738475369774,8.0,0.0,-0.9858566682797854,0.0016580653762681685
1.1625,21,200000,20,-0.965541931508157,0.0016687538458560116,0.005640282080045473,8.217805,0.008591871100704437,7.0,0.0,-0.965541931508157,0.0016687538458560116
1.2000000000000002,22,200000,20,-0.9436928312880022,0.0016778558865219331,0.006602008916011534,7.84189,0.008007972700854685,7.0,0.0,-0.9436928312880022,0.0016778558865219331
1.2375,23,200000,20,-0.9244138328946555,0.0016851992854481931,0.007269266063227939,7.49887,0.007499298288031626,7.0,0.0,-0.9244138328946555,0.0016851992854481931
1.2750000000000001,24,200000,20,-0.9064235560680759,0.0016970105064406623,0.006486670189765011,7.187675,0.0070324684677528955,7.0,0.0,-0.9064235560680759,0.0016970105064406623
1.3125,25,200000,20,-0.8861564287659686,0.0017041387743864484,0.006664490052438888,6.892775,0.006584755560527966,6.0,0.0,-0.8861564287659686,0.0017041387743864484
1.35,26,200000,20,-0.8688637042434266,0.0017159492221961565,0.006223938246274262,6.630145,0.006202137029072611,6.0,0.0,-0.8688637042434266,0.0017159492221961565
