e,e_index,n_paths,n_batches,F1,F1_se,F1_batch_sd,mean_tau,mean_tau_se,median_tau,alarm_up_proportion,F_rho_0.1,F_rho_0.1_se
-0.16999999999999998,0,800000,20,1.506503519806288,0.0012316077223712303,0.006306079739716203,231.05371375,0.25112534645327694,162.0,0.9455175,0.14947012824644113,0.001014577361636546
-0.16249999999999998,1,800000,20,1.48882242820769,0.0012740436860172164,0.005416250572744318,242.4596775,0.26333898130906075,170.0,0.9387950000000002,0.14770201908658137,0.0010149392204012934
-0.15499999999999997,2,800000,20,1.4690879770285403,0.0013195879733197181,0.0067899434235997504,254.0514125,0.27627580195697016,178.0,0.9315837499999999,0.1457285739686664,0.0010155009267058235
-0.1475,3,800000,20,1.4436696468754409,0.00136746673068727,0.004212773787650085,266.113635,0.29018885639174524,186.0,0.9227187499999999,0.14318674095335646,0.0010160815896525348
-0.13999999999999999,4,800000,20,1.4146505117693076,0.0014200135268546273,0.0065093896329022185,277.89045625,0.3029089352227825,195.0,0.9130800000000001,0.14028482744274312,0.001016990743403208
-0.1325,5,800000,20,1.3848177721550798,0.0014703977363377582,0.0077517535174890795,290.87968125,0.317774288966727,203.0,0.90323,0.13730155348132037,0.0010177948310624194
-0.125,6,800000,20,1.3447912628095553,0.0015286879655160251,0.007377768899589371,303.53109625,0.33203540965260103,212.0,0.8908987500000001,0.1332989025467679,0.001018659990877892
-0.1175,7,800000,20,1.307640693682559,0.0015835651094915477,0.0060243998953085345,317.1992425,0.3465131553081589,222.0,0.8787212499999999,0.12958384563406825,0.0010192143460472397
-0.11,8,800000,20,1.2604458927724511,0.001640486167689156,0.005071111013952849,330.7162125,0.3628191094701343,231.0,0.8645700000000002,0.12486436554305747,0.001019930915244591
-0.10250000000000001,9,800000,20,1.2123833991500017,0.0016974283332599899,0.00726750392341921,344.892705,0.3783018826737408,241.0,0.84984,0.12005811618081251,0.001021164088338351
-0.09500000000000001,10,800000,20,1.154539437786645,0.0017603533508910728,0.0073947406645444805,356.9122825,0.39194033035234266,249.0,0.8323799999999999,0.11427372004447683,0.001022294581083045
-0.08750000000000001,11,800000,20,1.0914432379195174,0.0018190027580574767,0.009546656873294682,371.72823125,0.4081728030282236,259.0,0.81355875,0.10796410005776412,0.001023171795583002
-0.08000000000000002,12,800000,20,1.027741783151904,0.0018742160534199602,0.008423971629192006,383.271445,0.4214008625166169,268.0,0.7943962499999999,0.10159395458100276,0.0010240643737747701
0.0,13,800000,20,0.0037934947122940117,0.0022515062098573944,0.011244516704912293,464.94405875,0.5123674377274547,324.0,0.5008425,-0.000800874262958244,0.0010317522136678871
0.08000000000000002,14,800000,20,-1.0246669209878536,0.0018765890301130116,0.008613155698168484,383.43695625,0.42153892210276445,268.0,0.20616624999999997,-0.103646915832973,0.0010244177492840726
0.08750000000000001,15,800000,20,-1.0903465030614479,0.001821318012695633,0.007959155623714976,371.2199425,0.4082733968838517,259.0,0.18707250000000003,-0.11021487404033244,0.0010235200319330903
0.09500000000000001,16,800000,20,-1.1528714415820764,0.0017598863524341756,0.007790459030872578,358.1337775,0.3929372880718259,250.0,0.16806,-0.1164673678923953,0.0010219656529081105
0.10250000000000001,17,800000,20,-1.2111442147257263,0.0016986014702059823,0.005968632676235979,344.20375125,0.37765340325368296,240.0,0.15056875,-0.12229464520676028,0.001021211848367087
0.11,18,800000,20,-1.2593372557329157,0.0016451991891511216,0.007952006183450398,331.2057475,0.3630431752660649,231.0,0.13600249999999997,-0.12711394930747924,0.0010204099424317222
0.1175,19,800000,20,-1.3046999139265048,0.001585729212594469,0.006116933608070412,316.82996375,0.3461739944654966,222.0,0.12211749999999999,-0.1316502151268381,0.001019539493875753
0.125,20,800000,20,-1.3454919402473275,0.0015303224060018896,0.007321475361132214,304.53924875,0.3333008020476028,213.0,0.10916875,-0.1357294177589204,0.001018182783529646
0.1325,21,800000,20,-1.381292154147775,0.0014727935746274164,0.005879164490891974,290.87947625,0.31778973369901076,204.0,0.09744375000000001,-0.13930943914896513,0.0010174929184994224
0.13999999999999999,22,800000,20,-1.4159853732525702,0.0014170448452919843,0.007091342667259251,278.8619775,0.30491963964046365,195.0,0.08636750000000001,-0.1427787610594447,0.0010168500655287154
0.1475,23,800000,20,-1.440519269068923,0.0013734034299653728,0.007004549006333554,266.098505,0.2901220631908157,186.0,0.07789499999999999,-0.14523215064107997,0.001016099352546866
0.15499999999999997,24,800000,20,-1.4653594492670212,0.0013212066565577336,0.005745376827161741,254.23192625,0.27727158867367396,178.0,0.06921875000000002,-0.1477161686608898,0.0010154934513978964
0.16249999999999998,25,800000,20,-1.4869336960443842,0.0012753508205533626,0.006528975359367495,242.59052625,0.26376511377794376,170.0,0.06143624999999999,-0.1498735933386261,0.0010148117683512604
0.16999999999999998,26,800000,20,-1.5067359428285167,0.0012317380530108776,0.005861502691697263,231.34097875,0.25071264982688557,163.0,0.05451125,-0.15185381801703932,0.001014553622748517
