cell_id,m,rho,policy,n_replicates,n_cycles,burn_in,master_seed,mean_reference_error,mean_reference_error_ci_low,mean_reference_error_ci_high,mean_reference_error_replicate_sd,sd_reference_error,sd_reference_error_ci_low,sd_reference_error_ci_high,sd_reference_error_replicate_sd,rmse_reference_error,rmse_reference_error_ci_low,rmse_reference_error_ci_high,rmse_reference_error_replicate_sd,cycle_arl,cycle_arl_ci_low,cycle_arl_ci_high,cycle_arl_replicate_sd,median_tau,median_tau_ci_low,median_tau_ci_high,median_tau_replicate_sd,alternation_rate,alternation_rate_ci_low,alternation_rate_ci_high,alternation_rate_replicate_sd,alarm_up_proportion,alarm_up_proportion_ci_low,alarm_up_proportion_ci_high,alarm_up_proportion_replicate_sd,acf_e_lag1,acf_e_lag1_ci_low,acf_e_lag1_ci_high,acf_e_lag1_replicate_sd,acf_e_lag2,acf_e_lag2_ci_low,acf_e_lag2_ci_high,acf_e_lag2_replicate_sd,acf_e_lag3,acf_e_lag3_ci_low,acf_e_lag3_ci_high,acf_e_lag3_replicate_sd,acf_direction_lag1,acf_direction_lag1_ci_low,acf_direction_lag1_ci_high,acf_direction_lag1_replicate_sd,fraction_abs_e_gt_1,fraction_abs_e_gt_1_ci_low,fraction_abs_e_gt_1_ci_high,fraction_abs_e_gt_1_replicate_sd
gate4.1-full-d045bf8cee2d,1,0.0,fresh,100,10000,1000,20260820,-6.472838024877852e-05,-0.002043853366645161,0.0019488035379368678,0.010168514070128394,0.9999947615374758,0.9984881987108175,1.0014754936842318,0.00771381952282989,0.9999959455604922,0.998473505156867,1.0014889501251025,0.007713557836385854,82.92578899999998,82.57398012499999,83.28341622500001,1.826364400997598,15.48,15.38,15.58,0.5021167315686782,0.49989298929892995,0.4988428842884289,0.500960096009601,0.005411440264591291,0.499525,0.49847595,0.500535,0.0052777668793082605,-0.0008933975696932699,-0.002613050377798207,0.000821424972639567,0.008958276677960238,-0.0013690830590363024,-0.003170377987523563,0.0004524375156205744,0.009331490001006295,1.7413704779034796e-05,-0.0019813460981564944,0.0019508244582273709,0.009939991201932947,0.00010291270075761625,-0.001999655104254831,0.002225213410530781,0.010821553237998792,0.31784099999999993,0.31690100000000004,0.31875202500000005,0.004720342715686579
gate4.1-full-8e3c47f3121c,1,0.02,partial_reuse,100,10000,1000,20260820,-7.134981742871444e-05,-0.0019726580295504796,0.0018697200121152791,0.009817629703941273,0.9804158717501348,0.9789228320105219,0.9818693018697122,0.007584687233196156,0.9804155162974314,0.9789177408045662,0.9818882637670089,0.00758447712523218,84.163431,83.80360702499999,84.52153542499998,1.843129566505915,16.015,15.945,16.085,0.3655285366576885,0.5098269826982698,0.508855810581058,0.5108541354135413,0.005052439966896862,0.49956,0.498544,0.5005580000000001,0.005152522183211328,-0.01697802943975096,-0.01869187661809876,-0.015271815747132326,0.008910902737921195,-0.0010952719650566428,-0.0028876053084118123,0.0007286003935825969,0.009311290726928968,7.611911175596563e-05,-0.001919389327678706,0.0020120774309235158,0.009938579368184156,-0.0197596940829651,-0.021735401922467142,-0.01773061383747548,0.010093592998255903,0.308357,0.30743899999999996,0.309237,0.004614957127962221
gate4.1-full-a78918f6c4cc,1,0.05,partial_reuse,100,10000,1000,20260820,-0.0001407321496036257,-0.0019335300129942308,0.0016893046485294417,0.009215010485476122,0.9530031229774925,0.9515488929693058,0.9544287560122572,0.007362271456809151,0.9529995879823285,0.9515470821843341,0.9544311300481098,0.007362127987586202,86.47852700000001,86.08697487500001,86.87292002500001,2.0319549187144577,16.745,16.645,16.84,0.49997474683702514,0.5268086808680867,0.5258095809580958,0.5278008050805081,0.005037765338176619,0.4997129999999999,0.498686975,0.5007199999999999,0.00525427493099714,-0.04291966508154248,-0.04462823401512017,-0.04121731452310626,0.008859372321622651,0.0004437745367029569,-0.0013202120271710589,0.0022412300167306367,0.00918538799737967,-2.694154209126414e-05,-0.0020115599423575245,0.0019098639003373912,0.009949468237718716,-0.05372749822533969,-0.05571407135841002,-0.051759550979428935,0.010077216920479644,0.29456499999999997,0.293605975,0.29548002500000004,0.004790528850415855
gate4.1-full-3a305bb5b069,1,0.1,partial_reuse,100,10000,1000,20260820,-0.0002611125345284095,-0.001903948017733608,0.001398500077758635,0.008433512471962125,0.9129737500147147,0.911586222738258,0.9143141722476112,0.006938506042907481,0.9129667054022597,0.9115815864127126,0.9143065917384823,0.006937577255892868,89.441958,89.0572777,89.825641875,1.992211557829006,17.99,17.89,18.09,0.5024183937956913,0.556972697269727,0.5559094909490949,0.5580418041804179,0.005399867573025651,0.49971399999999994,0.4988100000000001,0.5005870500000001,0.004576554656644287,-0.0905392930669921,-0.09219284890727698,-0.08887193985324669,0.008525469051834739,0.006881945960390367,0.005064949010731409,0.008737327833820674,0.009393543147779298,-0.0004312073996268477,-0.0024356028067861763,0.001544592939222091,0.010049670411865655,-0.11402664089040662,-0.11609027913903099,-0.1118561271096999,0.010804310382639345,0.273731,0.272843975,0.27460702500000006,0.0044675642472190935
gate4.1-full-6a1c02e9bb0b,1,0.25,partial_reuse,100,10000,1000,20260820,-0.00023575058434622897,-0.0015282290160565726,0.0010491561050726,0.0065282045868897635,0.8447916253800003,0.8435433092743981,0.8459930464968777,0.006289422430252171,0.8447744109922911,0.8435220627365213,0.8460154647441342,0.006286249602869931,95.49484500000004,95.047238925,95.957876175,2.3391713288107616,20.23,20.14,20.33,0.48938221207451904,0.6651045104510449,0.6642483748374838,0.6659666216621662,0.004420478612452454,0.4997419999999999,0.49896697500000003,0.500457025,0.0037409332817068238,-0.2528878088482476,-0.25442600736027304,-0.2514160034582316,0.007742154324888784,0.06828513414619442,0.0662773297726835,0.07030206549334782,0.010349580426347435,-0.019138605461475503,-0.021194685314973063,-0.01708203452260281,0.010500209141002173,-0.3302498188050407,-0.33196426385180283,-0.328472971432539,0.008831672699630375,0.23831,0.23742994999999997,0.23916205,0.004522524994207585
gate4.1-full-3281b5a392fc,1,0.5,partial_reuse,100,10000,1000,20260820,0.00033557941906609803,-0.0009452360909902409,0.0015932258915377067,0.006415020770081403,0.9070805417793646,0.9061949424739818,0.9079333111219025,0.004457563257245769,0.9070577037675097,0.9061666646727192,0.9079052327817816,0.004457949920236487,81.62963900000001,81.30605169999998,81.94947144999999,1.676893678221609,16.105,16.05,16.17,0.3039720215726932,0.8388308830883087,0.8381077857785779,0.8395379787978798,0.0036545164052710936,0.500261,0.49991997499999996,0.500600025,0.0017421045556533855,-0.4691188737431836,-0.47042487793636245,-0.4678299980258674,0.006677820375531034,0.2997518523118902,0.29742057833247537,0.302087347908785,0.012041537426185215,-0.18832625381263365,-0.19063147555105292,-0.18604109979697542,0.011780922936055729,-0.6776146087367887,-0.6790300967275559,-0.6761875034069862,0.007306987372424413,0.29037899999999994,0.289585975,0.291171025,0.003993613462122804
gate4.1-full-0e3a28b8aa41,1,1.0,full_reuse,100,10000,1000,20260820,-0.001015316316413042,-0.0028249454700956913,0.0007498170972532896,0.009278642502224932,1.3710683878342547,1.36973124057477,1.3723781496897185,0.006785837333649937,1.3710312835313871,1.3697070548439871,1.3723886480491805,0.006787283106676366,50.058819,49.79291344999999,50.325620525,1.3775775843662978,8.01,8.0,8.03,0.09999999999999999,0.8950605060506049,0.8945144264426441,0.8956125612561255,0.0028209595344637793,0.5001539999999999,0.49991199999999997,0.500389,0.0012138443812195095,-0.49649952272886394,-0.49792096127976365,-0.49517328626742446,0.007044930372819418,0.39564867398457493,0.3937562999303346,0.39757116583738794,0.00980272485028887,-0.3002188094933521,-0.3024508657446532,-0.29802770161825665,0.011417651793587974,-0.7900525853836241,-0.7911417231446918,-0.7889500389723815,0.005641122308113445,0.529329,0.5285489750000001,0.530102025,0.004022444480158752
