m,paired_mean_difference,paired_se,naive_se,paired_covariance,paired_correlation,independent_direct,independent_reconstruction,independent_difference,independent_se,independent_z,independent_relative,short_probability,short_correction,short_correction_se,stage_a_gain,stage_d_gain,distinction,distinction_se,distinction_ci_low,distinction_ci_high,standardized_distinction
1,0.0,0.0,0.04441925989675519,0.06313826079281547,1.0,15.841993285126618,15.92487194577844,-0.0828786606518272,0.043767389538469,-1.8936167207089574,0.005217931328722795,0.0,0.0,0.0,15.882089742182004,15.841993285126618,-0.04009645705538567,0.04943271841730841,-0.13698458515331013,0.05679167104253881,-0.0009940497471867895
2,2.220446049250313e-16,2.2898516762851026e-16,0.03733080267938056,0.0445948425179791,0.9999999999999999,13.211391902799157,13.27364310811966,-0.06225120532049669,0.037351689471825704,-1.6666235503872626,0.004700858828001003,0.0,0.0,0.0,13.303570468343016,13.211391902799157,-0.09217856554385939,0.044436572485696775,-0.17927424761582506,-0.005082883471893715,-0.0027495549333772617
5,-3.3306690738754696e-16,1.933110317194233e-16,0.028174487444062615,0.025401655767540537,1.0,10.158778591070833,10.203562828670158,-0.044784237599326704,0.027171718945944744,-1.6481930233571236,0.004398731626797009,0.000719375,0.002739945217995878,9.062337700378925e-05,10.172899883538784,10.158778591070833,-0.014121292467951463,0.035913081896500436,-0.08451093298509231,0.056268348049189384,-0.0005645734094713612
10,1.1102230246251565e-16,1.5763106709736218e-16,0.017855502728229083,0.010202207285689484,1.0,7.066227775092908,7.109492326098673,-0.043264551005769855,0.016237547575520754,-2.6644757038922684,0.006104035731085454,0.00742375,0.023162660103717158,0.0002983972442887861,7.054926688436065,7.066227775092908,0.01130108665684304,0.02350514605017296,-0.03476899960149596,0.05737117291518204,0.0006849170929986032
20,-6.938893903907228e-17,8.913599317061423e-17,0.010499600316783467,0.003527731417990383,1.0,4.241204005046598,4.268329732130412,-0.02712572708381411,0.009562520181923946,-2.836671355223902,0.006375373298140991,0.027733125,0.07834101362720618,0.0005508150997945043,4.190628943614357,4.241204005046598,0.050575061432240886,0.012059759742752972,0.026937932336445064,0.07421219052803671,0.005343978785814204
50,-2.7755575615628914e-17,4.730483245376208e-17,0.005611191143049397,0.0010075349134027515,1.0,2.3517239204724376,2.363211321492994,-0.011487401020555628,0.004653572013257169,-2.4685125722413104,0.004872771493577112,0.089633125,0.2026370664929334,0.0008851965596258627,2.2183241269620506,2.3517239204724376,0.133399793510387,0.006081268182965229,0.12148050787177515,0.14531907914899886,0.028242729547032604
